app_key,routed_app_types,app_type,app_type_label,feature,feature_label,source,llm_flag,llm_confidence,llm_sub_code,llm_cognitive_primary,llm_cognitive_secondary,llm_cognitive_tertiary,llm_evidence,llm_uncertain,llm_uncertainty_note,llm_core_cluster,customisation_blacklist,customisation_whitelist,customisation_other_control,llm_notes
play:ai.momental,dsct;habit_apps,dsct,Digital Self-Control Tools,block_removal,Block/Removal,Lyngs et al.,False,0.95,,,,,No evidence of blocking or removing access to distracting apps or websites; app is a meditation timer with soundscapes only.,False,,False,False,False,,"Momental is a minimalist meditation timer app with soundscapes and progress tracking via streaks and journaling. It does not block or remove distractions, nor does it provide goal reminders or rewards/punishments. No scheduling or override features are described."
play:ai.momental,dsct;habit_apps,dsct,Digital Self-Control Tools,self_tracking,Self-Tracking,Lyngs et al.,True,0.9,Visualise captured usage data,Conscious goals and self-monitoring,,,Tracks progress with visual streaks; optionally journal thoughts after sessions.,False,,True,False,False,,"Momental is a minimalist meditation timer app with soundscapes and progress tracking via streaks and journaling. It does not block or remove distractions, nor does it provide goal reminders or rewards/punishments. No scheduling or override features are described."
play:ai.momental,dsct;habit_apps,dsct,Digital Self-Control Tools,goal_advancement,Goal-Advancement,Lyngs et al.,False,0.9,,,,,"No explicit reminders of goals or tasks, no goal setting or comparison described.",False,,False,False,False,,"Momental is a minimalist meditation timer app with soundscapes and progress tracking via streaks and journaling. It does not block or remove distractions, nor does it provide goal reminders or rewards/punishments. No scheduling or override features are described."
play:ai.momental,dsct;habit_apps,dsct,Digital Self-Control Tools,reward_punishment,Reward/Punishment,Lyngs et al.,False,0.95,,,,,"No points, streaks used as reward mechanism; streaks are tracking not reward/punishment.",False,,False,False,False,,"Momental is a minimalist meditation timer app with soundscapes and progress tracking via streaks and journaling. It does not block or remove distractions, nor does it provide goal reminders or rewards/punishments. No scheduling or override features are described."
play:ai.momental,dsct;habit_apps,dsct,Digital Self-Control Tools,custom_rules,Custom Rules,Project extension,False,0.95,,,,,"No evidence of user customization of blocked apps, websites, or schedules.",False,,False,False,False,,"Momental is a minimalist meditation timer app with soundscapes and progress tracking via streaks and journaling. It does not block or remove distractions, nor does it provide goal reminders or rewards/punishments. No scheduling or override features are described."
play:ai.momental,dsct;habit_apps,dsct,Digital Self-Control Tools,override_friction,Override Friction,Project extension,False,0.95,,,,,No evidence of effortful override or delay to bypass restrictions.,False,,False,False,False,,"Momental is a minimalist meditation timer app with soundscapes and progress tracking via streaks and journaling. It does not block or remove distractions, nor does it provide goal reminders or rewards/punishments. No scheduling or override features are described."
play:ai.momental,dsct;habit_apps,dsct,Digital Self-Control Tools,emergency_access,Emergency Access,Project extension,False,0.95,,,,,No evidence of emergency bypass or temporary unlock features.,False,,False,False,False,,"Momental is a minimalist meditation timer app with soundscapes and progress tracking via streaks and journaling. It does not block or remove distractions, nor does it provide goal reminders or rewards/punishments. No scheduling or override features are described."
play:ai.momental,dsct;habit_apps,dsct,Digital Self-Control Tools,scheduling,Scheduling,Project extension,False,0.95,,,,,No evidence of scheduling blocking or focus sessions; user sets session duration but no recurring or automatic scheduling described.,False,,False,False,False,,"Momental is a minimalist meditation timer app with soundscapes and progress tracking via streaks and journaling. It does not block or remove distractions, nor does it provide goal reminders or rewards/punishments. No scheduling or override features are described."
play:ai.momental,dsct;habit_apps,habit_apps,Habit Apps,habit_tracking,Habit Tracking,Project extension,True,0.9,Track habits,,,,Track your progress: Build a lasting habit with visual streaks,False,,False,False,False,,"The app tracks meditation sessions and shows visual streaks, supporting habit tracking and streaks features. There is no evidence for routine building, reminders, analytics, or accountability features."
play:ai.momental,dsct;habit_apps,habit_apps,Habit Apps,streaks,Streaks,Project extension,True,0.9,Streak counter,,,,Track your progress: Build a lasting habit with visual streaks,False,,False,False,False,,"The app tracks meditation sessions and shows visual streaks, supporting habit tracking and streaks features. There is no evidence for routine building, reminders, analytics, or accountability features."
